,Title,Published_date,Views,Likes,Comments,Month
0,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,4/4/2022,13707,498,59,Apr
1,Why You Are NOT Landing a Data Jobs ... Yet,3/25/2022,9742,466,83,Mar
2,Can Data Defeat This Deceitful OpenSea NFT Scam?,3/3/2022,3827,171,51,Mar
3,When a PM Joins the Data Team... (funny!) - Ft @Luke Barousse,2/21/2022,7527,389,133,Feb
4,What Professional Data Scientists ACTUALLY Do,2/14/2022,61807,2119,154,Feb
5,Can You Analyze My Data Better Than I Can?,1/31/2022,5369,288,62,Jan
6,Giving Back to My Most Engaged Subscribers!,1/28/2022,2022,115,87,Jan
7,How to Make $1 Billion Betting on Horse Racing with Machine Learning,1/24/2022,7392,441,61,Jan
8,Should You Be Excited About Web 3? (As a Data Scientist),1/17/2022,6706,365,78,Jan
9,Should  @Luke Barousse Take This Data Analyst Job? (Funny) #Shorts,1/14/2022,4286,117,27,Jan
10,The Only Data Science Explanation You Need,1/10/2022,18221,1118,150,Jan
11,We Need to Talk About The LinkedIn Machine Learning Assessment.,1/3/2022,12738,614,149,Jan
12,How I Would Learn Data Science in 2022 (If I Had to Start Over),12/27/2021,159040,7827,349,Dec
13,What the Heck is WSL 2? (My New Favorite Tool),12/17/2021,5845,267,56,Dec
14,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,12/10/2021,4418,288,20,Dec
15,How Zillow Lost $500 MILLION With Machine Learning,12/3/2021,19250,973,149,Dec
16,Why Is Data Engineering So HOT Right Now?,11/26/2021,21161,900,133,Nov
17,Is Data Science Dying?,11/19/2021,80199,2644,297,Nov
18,7 Incredible Books That Transformed My Health and My Life,11/12/2021,6907,364,110,Nov
19,Why EVERYONE Should Start a Podcast (Including YOU),11/5/2021,3343,192,48,Nov
20,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,10/29/2021,7119,208,30,Oct
21,ML Ops: What is it REALLY?,10/22/2021,4522,221,61,Oct
22,Business Skills for Data Science: What are they REALLY?,10/18/2021,5553,264,50,Oct
23,#66DaysOfData Round 3 Live Event! (feat. @StatQuest with Josh Starmer),10/12/2021,2117,124,5,Oct
24,What YOU Can Learn From My First Data Science Project,10/8/2021,4374,235,65,Oct
25,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),8/20/2021,10883,490,111,Aug
26,Project Presentation - Expectations vs. Reality (funny) #shorts,8/7/2021,6660,248,32,Aug
27,Data Science Project - Expectations vs Reality (funny) #shorts,8/6/2021,20364,715,31,Aug
28,How I Learned to Learn.,7/31/2021,30133,1663,168,Jul
29,Is Spotify Shuffle Really Random? #Shorts,7/21/2021,7389,423,46,Jul
30,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),7/16/2021,2313,93,30,Jul
31,Why are APIs Important for Data Science?,7/9/2021,7048,365,92,Jul
32,Is Your Phone REALLY Listening to You?,7/3/2021,4710,271,118,Jul
33,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,6/25/2021,9796,450,125,Jun
34,#66DaysOfData - 3 Reasons to Start!,6/18/2021,3546,187,40,Jun
35,#66DaysOfData - What is it? #shorts,6/11/2021,6795,317,53,Jun
36,A Quick Data Science Project Tip! #SHORTS,6/3/2021,13107,744,87,Jun
37,Discouraged with Data Science? - Watch THIS video.,5/28/2021,7005,375,201,May
38,How Data Science Projects Pay Off,5/22/2021,9638,567,149,May
39,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,5/14/2021,9573,453,138,May
40,What is a lambda function (python)? #shorts,5/13/2021,8882,578,47,May
41,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,5/7/2021,15662,684,58,May
42,What is Pandas? (Data & Data Science) #shorts,4/30/2021,14147,558,93,Apr
43,The 7 Biggest Data Science  Beginner Mistakes,4/23/2021,54506,2521,269,Apr
44,Data Scientist Reacts: REAL Data Science Job Application Data,4/16/2021,21123,606,92,Apr
45,Why You Probably Won't Become a Data Scientist,4/9/2021,115519,3391,484,Apr
46,How to Go From Data Analyst to Data Scientist,4/2/2021,43392,1227,170,Apr
47,Why I Have 2 Offices for Data Science & Content Creation,3/26/2021,3648,136,89,Mar
48,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,3/19/2021,11543,286,102,Mar
49,My Regrets as a Data Science Student,3/12/2021,20953,758,115,Mar
50,My Daily Battle With Time - Will I Win? [Vlog],3/8/2021,3675,192,83,Mar
51,What is the Future of my Comment Leaderboard Project?,2/26/2021,5244,195,83,Feb
52,How to Build a Website  - Building my ULTIMATE Portfolio Website,2/19/2021,5689,160,51,Feb
53,Why I Quit Data Science,2/12/2021,100405,2270,361,Feb
54,ðŸŒ¶ Hot Topics in Tech: Data Science Explained #SHORTS,1/29/2021,8395,390,115,Jan
55,How I Balance Data Science and Content Creation (7 Secrets),1/23/2021,6821,291,126,Jan
56,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),1/16/2021,7362,258,46,Jan
57,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),1/8/2021,16229,593,132,Jan
58,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),1/2/2021,27681,977,149,Jan
59,What is the #66DaysOfData?,12/26/2020,57799,1986,204,Dec
60,How I Would Learn Data Science in 2021 (What Has Changed?),12/19/2020,126065,5874,506,Dec
61,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),12/10/2020,9623,372,136,Dec
62,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,12/7/2020,21582,684,323,Dec
63,7 Things to Look For in a Masters For Data Science (feat. @Tina Huang),11/20/2020,20141,663,160,Nov
64,6 Lessons from #66DaysOfData,11/13/2020,6435,336,95,Nov
65,100K Channel Update + AMA Stream!,11/12/2020,2296,128,24,Nov
66,Find a Data Science Project With These 3 Techniques,11/6/2020,14256,608,101,Nov
67,How I Chose My Masters Degree for Breaking into Data Science,10/30/2020,19961,564,154,Oct
68,git for Data Science Made Simple... (Hopefully),10/23/2020,13897,691,92,Oct
69,The PODCAST you might have asked for?,10/19/2020,1892,94,44,Oct
70,Dealing with Doubt in Data Science (My Impostor Syndrome Story),10/16/2020,6355,437,115,Oct
71,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,10/14/2020,10160,328,47,Oct
72,Data Science Resume Round-Up With @Tina Huang  | Episode 3,10/12/2020,5349,119,62,Oct
73,5 Unusual Data Science Projects that Will Land You a Job,10/9/2020,7919,465,81,Oct
74,Sh*t Data Scientists Say (Parody),10/5/2020,8849,570,142,Oct
75,5 Proven Strategies to Break into a Data Science Job,10/2/2020,8263,360,93,Oct
76,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,9/30/2020,6780,281,61,Sep
77,Data Science Resume Round-Up With @Tina Huang  - Episode 1,9/28/2020,9607,264,69,Sep
78,5 Essential Data Science Projects for Your Portfolio,9/26/2020,56693,2619,201,Sep
79,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,9/23/2020,4706,186,66,Sep
80,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),9/21/2020,9076,379,56,Sep
81,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",9/18/2020,6962,244,34,Sep
82,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,9/16/2020,4932,189,56,Sep
83,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),9/14/2020,3766,149,35,Sep
84,The 5 Pillars of Success I Live By,9/11/2020,9816,866,153,Sep
85,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,9/9/2020,1844,76,25,Sep
86,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),9/7/2020,3689,158,43,Sep
87,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,9/4/2020,10836,700,145,Sep
88,How She Dominated the FAANG Data Science Interview  (@Tina Huang ) - KNN EP. 11,9/2/2020,16322,528,89,Sep
89,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),8/31/2020,15008,722,93,Aug
90,Why I'm Starting Data Science Over Again.,8/29/2020,49854,2588,453,Aug
91,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,8/26/2020,13534,569,76,Aug
92,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),8/24/2020,10240,398,52,Aug
93,Don't Buy My Course..,8/21/2020,7233,355,148,Aug
94,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,8/19/2020,26045,1036,165,Aug
95,Reviewing Your Projects - Episode 16 (Project Review for Beginners),8/17/2020,3059,128,40,Aug
96,The YouTube Algorithm EXPLAINED! (Tips from a Data Scientist),8/14/2020,5865,526,112,Aug
97,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,8/12/2020,4545,178,39,Aug
98,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),8/10/2020,8349,285,49,Aug
99,The Plagiarism Problem in Data Science,8/7/2020,12777,621,150,Aug
100,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,8/5/2020,13609,583,88,Aug
101,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],8/3/2020,4537,182,56,Aug
102,My First Data Science Contracting Side-Gig (How I Did It),7/31/2020,9316,508,89,Jul
103,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,7/30/2020,2217,114,34,Jul
104,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),7/27/2020,5190,245,112,Jul
105,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),7/24/2020,7940,246,202,Jul
106,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),7/22/2020,1808,96,27,Jul
107,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),7/20/2020,23216,482,88,Jul
108,Beginner Kaggle Data Science Project Walk-Through (Titanic),7/17/2020,192201,4797,360,Jul
109,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,7/16/2020,23916,940,120,Jul
110,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),7/13/2020,3401,132,50,Jul
111,The Best Computer for Data Science Beginners,7/10/2020,29791,724,152,Jul
112,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,7/8/2020,5868,221,88,Jul
113,Critiquing MY OWN Data Science Resume,7/6/2020,11371,377,91,Jul
114,Where to Start Learning Data Science,7/3/2020,17237,724,132,Jul
115,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",7/1/2020,3772,191,37,Jul
116,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),6/29/2020,4319,171,54,Jun
117,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,6/26/2020,12803,458,79,Jun
118,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),6/22/2020,2273,81,40,Jun
119,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",6/20/2020,2338,136,51,Jun
120,Reviewing Your Data Science Projects - Episode 8 (College Student Help),6/15/2020,4088,161,46,Jun
121,Why You're Struggling to Learn Data Science,6/12/2020,14691,982,159,Jun
122,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),6/8/2020,9202,291,69,Jun
123,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],6/5/2020,20405,632,151,Jun
124,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),6/1/2020,5555,153,53,Jun
125,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],5/29/2020,49361,1679,245,May
126,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),5/25/2020,20721,486,81,May
127,Different Data Science Roles Explained (by a Data Scientist),5/22/2020,46724,1622,172,May
128,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),5/18/2020,10876,173,55,May
129,How to Make A Data Science Portfolio Website with Github Pages,5/15/2020,78496,3047,182,May
130,10000 Subscriber and 100th Video Special (Data Science),5/13/2020,3072,146,115,May
131,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),5/11/2020,4136,148,74,May
132,How I Would Learn Data Science (If I Had to Start Over),5/8/2020,1296278,46366,1966,May
133,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),5/4/2020,4783,179,42,May
134,What You Need to Know for a Data Science Internship,5/1/2020,14232,862,56,May
135,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),4/27/2020,7686,336,57,Apr
136,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),4/24/2020,14601,453,103,Apr
137,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,4/22/2020,2859,81,24,Apr
138,5 Tips for Crushing the Work From Home Life,4/20/2020,5048,199,38,Apr
139,Data Science Project from Scratch - Part 7 (Documenting Your Work),4/17/2020,13460,570,118,Apr
140,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),4/15/2020,19760,582,94,Apr
141,Data Science Project from Scratch  - Part 5 (Model Building),4/13/2020,29977,680,135,Apr
142,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),4/10/2020,51268,1495,201,Apr
143,Data Science Project from Scratch - Part 3 (Data Cleaning),4/8/2020,54314,1371,259,Apr
144,Data Science Project from Scratch - Part 2 (Data Collection),4/6/2020,77864,2537,583,Apr
145,Data Science Project from Scratch - Part 1 (Project Planning),4/3/2020,112545,3397,161,Apr
146,When Data Science Goes Wrong,3/30/2020,1708,104,32,Mar
147,How to ULTRALEARN Data Science,3/27/2020,57085,3601,168,Mar
148,Why Right NOW is a Great Time to Learn Data Science,3/23/2020,4111,262,50,Mar
149,Data Science Project Example Start to Finish (Deep Learning Image Classifier),3/20/2020,10417,407,44,Mar
150,The Secret Data Scientists Don't Want You to Know,3/16/2020,9806,1080,107,Mar
151,The 5 Stages of Learning Data Science,3/13/2020,15977,1217,78,Mar
152,Can You Learn Data Science Without a Computer?,3/11/2020,1163,91,14,Mar
153,The Best Free Data Science Courses Nobody is Talking About,3/9/2020,308959,19452,615,Mar
154,The Data Science Projects that Got Me a Job,3/6/2020,35287,1250,43,Mar
155,How to Integrate Data Science into Your Business,3/2/2020,2370,99,18,Mar
156,The Problem with Data Science,2/28/2020,3425,145,21,Feb
157,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2/24/2020,1003,43,16,Feb
158,How to Set Up Your Data Science Environment (Anaconda Beginner),2/21/2020,83908,1756,89,Feb
159,3 Proven Data Science Projects for Beginners (Kaggle),2/17/2020,258744,15182,487,Feb
160,Data Science Advice for College Students,2/14/2020,64144,1838,191,Feb
161,Avoid These Data Science Resume Mistakes!,2/10/2020,23888,1081,57,Feb
162,Data Science Explained with ... Cooking?,2/7/2020,4170,266,43,Feb
163,The 4 Types of Sports Analytics Projects,2/3/2020,19526,687,56,Feb
164,Data Science in Golf: PGA Merchandise Show 2020,1/31/2020,505,18,13,Jan
165,How I Learned Data Science,1/27/2020,88625,2521,210,Jan
166,What is Sports Analytics Really?,1/20/2020,14710,453,74,Jan
167,Data Science Certificate vs Bootcamp vs Masters Degree,1/18/2020,96592,2765,571,Jan
168,How To Learn Programming for Data Science [3 Steps],1/13/2020,26705,1832,95,Jan
169,Data Science Fundamentals: SQL Queries,1/10/2020,5067,185,32,Jan
170,Questions You Should Ask Your Data Science Interviewers,1/6/2020,2365,127,14,Jan
171,The 9 Books That Changed My Perspective in 2019,1/3/2020,3122,176,23,Jan
172,The Data Science Interview: What to Expect,12/30/2019,6670,332,32,Dec
173,5 Data Science Resolutions for 2020,12/27/2019,463,25,12,Dec
174,How to Scrape NBA Data Using the nba_api Python Module,12/23/2019,12621,458,85,Dec
175,Collision Course: Sports Betting + Data Science,12/20/2019,11480,378,25,Dec
176,3 Reasons You Should NOT Become a Data Scientist,12/16/2019,95480,2802,212,Dec
177,5 Sports Analytics Books to Get You Started,12/13/2019,7965,299,55,Dec
178,Math Needed for Mastering Data Science,12/9/2019,50256,2601,216,Dec
179,The 5 Stages of Data Science Adoption,12/6/2019,1066,61,17,Dec
180,How YOU Can Land a Sports Analytics Job,12/2/2019,53838,2476,214,Dec
181,Data Science Fundamentals: Linear Regression,11/29/2019,5148,146,41,Nov
182,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,11/25/2019,846,43,12,Nov
183,Sports Analytics 101: The Pythagorean Theorem of Sports,11/22/2019,4666,224,24,Nov
184,9 Ways You Can Make Extra Income as a Data Scientist,11/18/2019,41128,1609,79,Nov
185,Applying Data Science To My YouTube Data: My Surprising Findings,11/11/2019,5710,131,31,Nov
186,Why Selling Is An Important Data Science Skill,11/4/2019,1461,72,13,Nov
187,By The Numbers: Where Should The NBA Put a 4 Point Line?,10/21/2019,2426,67,18,Oct
188,Why is Balance Important in Data Science?,10/16/2019,639,32,13,Oct
189,How to Stay Productive & Motivated When Learning Data Science,9/29/2019,10254,527,56,Sep
190,How Far Should the NBA 3-Point Line Actually Be?,9/21/2019,2474,89,27,Sep
191,6 Habits of Successful Data Scientists,9/13/2019,1689,82,17,Sep
192,How To Build A Word Cloud From Scraped Data (Python),9/4/2019,2943,65,9,Sep
193,Thank You For The Support | What's Next | Ken Jee | Data Science,8/26/2019,507,24,29,Aug
194,Is Data Science Right For You?,8/18/2019,45261,1045,113,Aug
195,Data Science Fundamentals: Data Cleaning in Python,8/11/2019,11479,316,51,Aug
196,How To Get Data Science Experience (Without a Job),8/8/2019,26815,1285,71,Aug
197,Take Your Data Science Projects From Good to Great,8/5/2019,1460,102,11,Aug
198,The Projects You Should Do To Get A Data Science Job,7/30/2019,135752,5313,253,Jul
199,What Does a Data Scientist Actually Do?,7/19/2019,28207,985,73,Jul
200,Data Science Fundamentals: Data Manipulation in Python (Pandas),7/13/2019,9704,271,41,Jul
201,Data Science Fundamentals: Data Exploration in Python (Pandas),7/5/2019,14560,453,64,Jul
202,Data Science: Pros and Cons,6/30/2019,4209,185,18,Jun
203,How I Got My First Data Science Internship (And How You Can Land One),6/21/2019,21057,1034,89,Jun
204,My Top 5 Data Science Internship Tips,6/15/2019,9308,410,19,Jun
205,Golf STATS: Strokes Gained Explained,6/7/2019,4850,113,28,Jun
206,Most Data Science Hopefuls Overlook This Important Skill,5/25/2019,560,44,5,May
207,What I Learned From My Three Degrees,5/17/2019,1123,56,12,May
208,I Wish I Had Known THIS Before Starting in Data Science,5/14/2019,24038,1014,67,May
209,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,5/5/2019,1118,38,2,May
210,Should You Learn R for Data Science?,4/25/2019,16270,466,68,Apr
211,Scrape Twitter Data in Python with Twitterscraper Module,4/18/2019,42869,805,334,Apr
212,Work From Home Data Scientist: Day in the Life,4/12/2019,27060,740,103,Apr
213,Where to Look for Data Science Jobs,3/29/2019,2767,112,9,Mar
214,Data Science: Startup vs. Large Corporation,3/21/2019,1787,68,4,Mar
215,"Data Science, Machine Learning, and AI: What's the Difference?",3/16/2019,5064,141,27,Mar
216,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,3/9/2019,3786,166,14,Mar
217,Why You DON'T Want to be a WFH Data Scientist,3/3/2019,692,28,12,Mar
218,Welcome To My Channel | Ken Jee | Data Science,3/3/2019,1266,31,8,Mar
219,Where YOU Should Start With Data Science Projects,2/19/2019,10004,244,17,Feb
220,Watch This Before Applying to Data Science Jobs,2/4/2019,1327,59,13,Feb
221,My Top 5 Data Science Resources for 2019,1/5/2019,3502,117,17,Jan
222,IT'S NOT TOO LATE TO LEARN CODE!,12/18/2018,748,36,6,Dec
223,The Best Way to Predict NBA Minutes Played,12/11/2018,3324,89,13,Dec
224,Demystifying Data Science Roles,11/30/2018,1034,51,5,Nov
225,How to Simulate NBA Games in Python,11/19/2018,14496,328,48,Nov
226,Should You Get A Masters in Data Science?,11/14/2018,19092,285,139,Nov
227,How I Became A Data Scientist From a Business Background,11/12/2018,5754,179,23,Nov
228,Predicting Season Long NBA Wins Using Multiple Linear Regression,7/10/2018,7284,164,17,Jul
229,Predicting Crypto-Currency Price Using RNN lSTM & GRU,11/18/2017,17056,256,41,Nov
